checked_in_on,accession
5/15/2012 14:56:59,30115224
5/15/2012 14:57:17,30040943
5/15/2012 14:57:35,30118897
5/15/2012 14:58:33,30115174
5/15/2012 14:58:57,19880251
5/15/2012 14:59:15,19880574
5/15/2012 14:59:44,30106231
5/15/2012 14:59:53,30065650
5/11/2012 14:47:43,30096465
5/11/2012 14:48:27,30140347
5/11/2012 14:49:06,30073092
5/14/2012 14:50:56,30022073
5/14/2012 14:51:25,30038517
5/14/2012 14:52:08,30085922
5/14/2012 14:52:44,30136675
5/14/2012 14:53:03,30085385
5/14/2012 14:53:36,30124440
5/14/2012 14:53:55,18990952
5/14/2012 14:54:45,30033955
5/14/2012 14:55:04,22220875
5/15/2012 11:10:19,30129076
5/15/2012 14:56:42,30132583
5/15/2012 14:56:59,30053334
5/15/2012 14:57:17,30121123
5/15/2012 14:57:35,30121719
5/15/2012 14:58:33,30128953
5/15/2012 14:58:57,22232219
5/15/2012 14:59:15,19881663
5/15/2012 14:59:44,30130165
5/15/2012 14:59:53,30084164
5/11/2012 14:47:43,30041024
5/11/2012 14:48:27,30125892
5/11/2012 14:49:06,30108963
5/14/2012 14:50:56,30031504
5/14/2012 14:51:25,30131478
5/14/2012 14:52:08,30124408
5/14/2012 14:52:44,30138242
5/14/2012 14:53:03,30138242
5/14/2012 14:53:36,30132872
5/14/2012 14:53:55,30139026
5/14/2012 14:54:45,30085039
5/14/2012 14:55:04,22232862
5/15/2012 11:10:19,30131692
5/15/2012 14:56:42,30086201
5/15/2012 14:56:59,30092332
5/15/2012 14:57:17,30117113
5/15/2012 14:57:35,30099162
5/15/2012 14:58:33,30107569
5/15/2012 14:58:57,30096713
5/15/2012 14:59:15,30115349
5/15/2012 14:59:44,30066005
5/15/2012 14:59:53,30140156
5/11/2012 14:47:43,30138861
5/11/2012 14:48:27,0
5/11/2012 14:49:06,19003375
5/14/2012 14:50:56,30139034
5/14/2012 14:51:25,30081970
5/14/2012 14:52:08,30113294
5/14/2012 14:52:44,30135644
5/14/2012 14:53:03,30136675
5/14/2012 14:53:36,30093322
5/14/2012 14:53:55,22235170
5/14/2012 14:54:45,30090344
5/14/2012 14:55:04,30134225
5/15/2012 11:10:19,30117428
5/15/2012 14:56:42,30099493
5/15/2012 14:56:59,30094718
5/15/2012 14:57:17,30091706
5/15/2012 14:57:35,30115919
5/15/2012 14:58:33,30140180
5/15/2012 14:58:57,19003623
5/15/2012 14:59:15,30081533
5/15/2012 14:59:44,30066005
5/15/2012 14:59:53,30084164
5/11/2012 14:47:43,30109029
5/11/2012 14:48:27,30078547
5/11/2012 14:49:06,19003375
5/14/2012 14:50:56,30106942
5/14/2012 14:51:25,30138382
5/14/2012 14:52:08,30104665
5/14/2012 14:52:44,30085385
5/14/2012 14:53:03,30121917
5/14/2012 14:53:36,30135222
5/14/2012 14:53:55,19876945
5/14/2012 14:54:45,30123343
5/14/2012 14:55:04,30134225
5/15/2012 11:10:19,30128094
5/15/2012 14:56:42,30130173
5/15/2012 14:56:59,18996504
5/15/2012 14:57:17,30038616
5/15/2012 14:57:35,30133896
5/15/2012 14:58:33,30042907
5/15/2012 14:58:57,19880574
5/15/2012 14:59:15,30082390
5/15/2012 14:59:44,30129019
5/15/2012 14:59:53,30084164
