Timestamp,Library Card Number,Accession Number
2/2/2012 13:45:19,0066,30011712
3/6/2012 13:52:45,0066,30063028
2/13/2012 14:16:56,0066,30068472
2/10/2012 15:33:49,0066,30069983
2/17/2012 14:10:20,0066,30082465
3/12/2012 12:49:25,0066,30093546
2/21/2012 11:25:51,0066,30096374
2/2/2012 13:43:25,0066,30105811
3/12/2012 12:48:24,0066,30114797
3/12/2012 12:48:25,0066,30114797
2/23/2012 13:34:18,0066,30114920
2/23/2012 13:34:22,0066,30114920
3/6/2012 13:52:34,0066,30116164
2/10/2012 13:18:39,0066,30117113
2/2/2012 13:45:12,0066,30119036
2/1/2012 13:48:21,0066,30126387
1/30/2012 13:33:46,0066,30126445
1/26/2012 13:33:51,0066,30126635
2/3/2012 13:30:28,0066,30137079
2/22/2012 13:38:59,0068,19887298
2/29/2012 14:01:42,0068,30011787
2/16/2012 14:14:39,0068,30090823
2/29/2012 14:01:32,0068,30114797
2/21/2012 14:00:46,0068,30138697
3/8/2012 14:44:02,0068,30139604
3/16/2012 13:52:48,0069,30051106
3/2/2012 14:15:48,0070,22221410
3/5/2012 14:42:56,0070,30093439
3/7/2012 14:23:45,0070,30138804
3/7/2012 14:23:35,0070,30138879
3/15/2012 13:06:49,0071,19005024
2/24/2012 13:31:21,0071,30023071
2/29/2012 13:38:06,0071,30078463
2/21/2012 13:56:23,0071,30078521
2/27/2012 13:56:20,0071,30078646
3/5/2012 15:01:59,0071,30081590
3/7/2012 14:25:44,0071,30082275
3/7/2012 14:25:36,0071,30083216
2/8/2012 13:43:32,0071,30097273
1/24/2012 14:14:44,0071,30115901
2/16/2012 13:19:22,0071,30133946
1/30/2012 14:14:54,0072,30014534
3/7/2012 13:55:06,0072,30094650
2/2/2012 13:41:24,0072,30129928
2/29/2012 13:42:02,0074,30052112
2/21/2012 14:02:27,0074,30054845
1/30/2012 14:14:26,0074,30056931
3/9/2012 14:48:37,0074,30058903
2/22/2012 14:18:59,0074,30069504
